Item Name,Qty,Price (total) (USD),Item link,Notes
ne555p,1,$0.59,mouser,
resistor 1k ohm,1,$13.99,amazon,i dont think any one sells resirtors with just one to i found a pack that had the resistor i need
potentyomiter,1,$12.99,amazon,i bought this pack becouse i need potentiomiters for other things
capacitor,1,$0.19,moser,
2n2222,1,$0.15,mouser,
fan,1,,https://www.pinterest.com/pin/portable-fan-with-2600mah-power-bank-and-flashlight--355362226841125559/,i got the fan from a broken porttible fan and i could not find it for the life of me
usb cord,1,,,you can use litarly any old thing that has a usb cord(i used a mouse cord)
charger block,1,$7.88,amazon,
diode,1,$0.31,mouser,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$36.10,,,
